"종목
코드",종목명,시장,산업명(대),산업명(중),주요제품
005930,삼성전자,KOSPI,반도체,메모리반도체,"DRAM, NAND 등"
000660,SK하이닉스,KOSPI,반도체,메모리반도체,"DRAM, NAND 등"
005380,현대차,KOSPI,Auto,완성차,완성차
373220,LG에너지솔루션,KOSPI,배터리,배터리셀,배터리 셀
012450,한화에어로스페이스,KOSPI,방산,방산,방산
402340,SK스퀘어,KOSPI,지주사,지주사,지주사
207940,삼성바이오로직스,KOSPI,헬스케어,바이오_CDMO,위탁개발생산(CDMO)
034020,두산에너빌리티,KOSPI,에너지,원자력,발전 기자재 설계 및 제작
105560,KB금융,KOSPI,금융,금융지주,4대 금융지주
000270,기아,KOSPI,Auto,완성차,완성차
329180,HD현대중공업,KOSPI,조선,조선,조선업
028260,삼성물산,KOSPI,건설,건설_대형,대형 건설
032830,삼성생명,KOSPI,금융,생명보험,생명보험
055550,신한지주,KOSPI,금융,금융지주,4대 금융지주
068270,셀트리온,KOSPI,헬스케어,바이오의약품,바이오의약품
009150,삼성전기,KOSPI,전자제품,MLCC,"MLCC, 기판, 카메라 모듈 등"
006400,삼성SDI,KOSPI,배터리,배터리셀,배터리 셀
042660,한화오션,KOSPI,조선,조선,조선업
006800,미래에셋증권,KOSPI,금융,증권,증권업
012330,현대모비스,KOSPI,Auto,자동차부품_대형사,대형 부품사
267260,HD현대일렉트릭,KOSPI,에너지,전력_송배전,변압기
086790,하나금융지주,KOSPI,금융,금융지주,4대 금융지주
010130,고려아연,KOSPI,비철금속,아연동,아연
035420,NAVER,KOSPI,인터넷,플랫폼,NAVER
005490,POSCO홀딩스,KOSPI,철강,철강,대형사
009540,HD한국조선해양,KOSPI,지주사,지주사,지주사
015760,한국전력,KOSPI,에너지,전력_발전정비,전력산업
298040,효성중공업,KOSPI,에너지,전력_송배전,변압기
042700,한미반도체,KOSPI,반도체,반도체_장비,공정장비(HBM TC BONER 등)
034730,SK,KOSPI,지주사,지주사,지주사
272210,한화시스템,KOSPI,방산,방산,방산
051910,LG화학,KOSPI,석유화학,석유화학_대형사,대기업 그룹군
